"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CODE_A"|"EXPENSES_A"|"GRANT_A"|"REVENUE_A"|"SERVICE_A"|"CODE_B"|"EXPENSES_B"|"GRANT_B"|"REVENUE_B"|"SERVICE_B"|"CODE_C"|"EXPENSES_C"|"GRANT_C"|"REVENUE_C"|"SERVICE_C"
"01-0773840"|"Syracuse Community Center Inc"|"1501989"|""|"15219.0000"|""|"4414.0000"|"Provided facility for parties, reunions, ball practices."|""|"297.0000"|""|""|"Donated money for a benefit that was held for a local cancer patient."|""|""|""|""|""
"01-6011528"|"WALTER BISBEE TRUST"|"1501990"|"501 C 3"|"42826.0000"|"269400.0000"|"270371.0000"|""|""|""|""|""|""|""|""|""|""|""
"02-0212637"|"VETERANS OF FOREIGN WARS VFW-NH 2520 WHITE MOUNTAIN"|"1501991"|""|""|""|""|"Voice of democracy, honor guard at funerals, homage at veterans holidays."|""|""|""|""|""|""|""|""|""|""
"01-0211536"|"North Yarmouth Academy"|"1501490"|""|"7066930.0000"|"2253296.0000"|"7518973.0000"|"The Academy operates a private secondary day school in Yarmouth, Maine with 266 students from grades five through twelve The North Yarmouth Academy program encourages students to develop 1 Problem-solving skills based on sound analytical and creative thought2 Sophistication in writing, speaking and artistic expression3 Appreciation for the importance of athletic activity"|""|""|""|""|""|""|""|""|""|""
"01-0351334"|"Yarmouth Historical Society"|"1501491"|""|"188311.0000"|""|"38684.0000"|"Develop and promote awareness of and appreciation for Yarmouth history and to acquire, preserve, and exhibit artifacts of historical significance The society sponsors a lecture series, publishes several newsletters, presents a number of exhibits per year, conducts programs within scholarly system, staffs the museum, provides assistance to researchers and conducts events of historical interest Salaries and benefits are to a full-time curator/director."|""|""|""|""|""|""|""|""|""|""
"01-0350707"|"Portland Ovations"|"1503680"|""|"1679727.0000"|"0.0000"|"1448697.0000"|"Expenses involved in the presentation of classical and other music forms, dance, and theatrical performances coordinated with community and school-based performance arts education and outreach programs primarily in the southern and central Maine areas"|""|""|""|""|""|""|""|""|""|""
"01-0461120"|"Maine Pretrial Services"|"1503682"|""|"2102981.0000"|""|"2320697.0000"|"Provide low - income defandants assistance in obtaining pretrial release and provides supervision and support services to defandants and their families through all phases of their involvement with the criminal justice system"|""|""|""|""|""|""|""|""|""|""
"01-0849648"|"ACADEMY IN MANAYUNK"|"1502689"|""|"7257671.0000"|"600120.0000"|"7811688.0000"|"Tuition, fees and related services school for children with language based learning disabilities, the AIM model utilizes a small teacher to student ratio of 1 6 the integrated services team consists of speech and language therapists, occupational therapists and school psychologists the arts based learning addresses full immersion learning and multi-sensory experiences that is college preparatory in scope and sequence"|""|"101803.0000"|""|"219656.0000"|"Tutoring AIM's outstanding tutoring center provides highly individualized diagnostic-prescriptive teaching, tailored to meet each student's needs ranging from teaching reading readiness skills to providing remediation in various academic areas tutoring also consists of assistance in learning study skills and modes of organization so students can effectively complete academic work"|""|"217898.0000"|""|"231668.0000"|"Teacher training workshops curriculum designed for regular and special educators, speech/language pathologists, school psychologists, learning specialists and reading specialists it is conducted by current practitioners who couple research with practical hands-on activities and strategies that attendees can use with their students the very next day workshop leaders are certified in their research-based programs including Wilson Reading, letrs, and rav-o"
"01-6217452"|"ELLIOT HEALTH SYSTEM PROFESSIONAL & GENERAL LIABILITY INSURANCE TRUST"|"1502690"|""|"35051.0000"|""|"236468.0000"|"Provision of funding for Professional, General, and other liability losses for organizations controlled by Elliot Health System and Elliot hospital"|""|""|""|""|""|""|""|""|""|""
"01-0324705"|"The Susan L Curtis Foundation"|"1503679"|""|"556905.0000"|"2500.0000"|"15474.0000"|"Camp Susan Curtis offers tuition-free experiential programs exclusively to economically disadvantaged boys and girls ages 8 to 17 living anywhere in the State of Maine With a 40-year history of youth development in this population, our programs are designed to level the playing field for around 500 of Maine's most vulnerable children and youth each year by teaching habits and skills for lifelong achievement, raising aspirations and permanently redefining their futures"|""|""|""|""|""|""|""|""|""|""
"01-0339851"|"REGIONAL TRANSPORTATION PROGRAM"|"1502686"|""|"5241367.0000"|""|"4116616.0000"|"Regional Transportation Program, Inc (RTP) was founded in 1976 and is designated as a 501(C)(3) not-for-profit organization RTP's exempt purpose is to provide transportation for the handicapped, elderly, and low-income individuals throughout Cumberland County, Maine, who, because of infirmity or location"|""|""|""|""|""|""|""|""|""|""
"01-0840857"|"TRANSFORMATIVE ACTION INSTITUTE"|"1502688"|""|"243046.0000"|""|"319710.0000"|"Conflict resolution & personal transformation"|""|""|""|""|""|""|""|""|""|""
"01-0720150"|"IDAHO VIRTUAL ACADEMY LEA NO 452"|"1503684"|""|"13665709.0000"|""|""|"The online charter school aims to empower students with an innovative and effective educational program"|""|""|""|""|""|""|""|""|""|""
"01-0723951"|"J C S BAND BOOSTERS INC"|"1503685"|""|"44518.0000"|""|"3125.0000"|"We provide the cost to send 100 band mambers to band camps, competitions, and performances as well as purchasing awards, recognitions banquets, uniforms, payments on band instruments (owned by the school), and provide accessories to band members who can not afford such costs on their own"|""|""|""|""|""|""|""|""|""|""
"01-0768551"|"ASHLAND COUNTY LIFEWORX INC"|"1503686"|""|"63415.0000"|""|""|"To provide educational, vocational, recreational and social supports for persons with a mental health diagnosis"|""|""|""|""|""|""|""|""|""|""
"01-0892950"|"JUMP OF OHIO INC"|"1503689"|""|"71830.0000"|""|""|"The program is designed to help youth who have been challenged with secondary or post secondary education, as well as transitioning into the workforce"|""|""|""|""|""|""|""|""|""|""
"01-0227132"|"LE PARESSEUX INC"|"1499912"|""|""|""|"236526.0000"|"Beano night and pull tab tickets revenue to operate social club"|""|""|""|"250242.0000"|"Camp ground rental provides revenue to operat social club"|""|""|""|"24555.0000"|"MISC SALES FOOD & BEVERAGE t"
"01-0564032"|"THE INSTITUTE FOR GIS STUDIES, INC."|"1499913"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0603034"|"Rural Health Collaborative of Southern Ohio Inc"|"1499914"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0751931"|"UTAH BUSINESS LENDING CORPORATION"|"1499915"|""|""|""|""|"In rural Utah we have made loans to businesses"|""|""|""|""|"We made 26 loans to refugee businesses"|""|""|""|""|"With salt lake counties money we have made 15 loans totaling 2,650,000"
"01-0972230"|"JOSEPH OMOSHEWA MINISTRIES WORLDWIDE"|"1499916"|""|"14666.0000"|""|""|"Office rental"|""|"3394.0000"|""|""|"Utilities"|""|"885.0000"|""|""|"Intruments"
"02-0185330"|"Rochester Agncultural and Mechanical Assn."|"1499917"|""|""|""|""|"LABOR AND MAINTENANCE. Fair employed 60 people who worked as supenntendents, education guides secunty, clencal staff and regular maintenance The facilities are maintained daily There are approximately 56 acres with several buildmgs that require upkeep dunng the balance of the year"|""|"771069.0000"|""|""|"PREMIUMS/AWARDS/ATTRACTIONS Fair rewards agricultural exhibitors in the form of premiums, trophies and ribbons Attractions include educational programs and tours"|""|""|""|""|""
"01-6023519"|"BAY CHAMBER CONCERTS, INC."|"1503690"|""|"647845.0000"|""|"222283.0000"|"Summer and winter series chamber music concerts at Rockport opera house, Rockport, ME, and other venues in surrounding communities."|""|"377394.0000"|""|"191725.0000"|"Educational programs for youth and adults,, including private instruction, designed to instill an appreciation of music in both artists and the public."|""|"25492.0000"|""|""|"Presentation of awards and prizes to qualified student musicians."
"01-0523156"|"PHILLIPS-STRICKLAND CHARITIES"|"1504858"|""|"346779.0000"|""|""|"Distributions to Phillips-Strickland House to further its nonprofit mission - senior citizen housing."|""|""|""|""|""|""|""|""|""|""
"01-0277845"|"Stanwood Wildlife Sanctuary"|"1503086"|""|"20879.0000"|""|"0.0000"|"Rehabilitation of birds in compliance with our certificate of organizationjgoes on ear-round. Birds brought to the sanctuary are evaluated, repaired and cared for to the point of their release. This work is done in conjunction with several veterinarians. If the injured bird heals but is not releaseable, they remain in separate enclosures for educational purposes. Some are involved in school conservation and community programs as well as programs on site {between 50 and 75 a year)"|""|"8004.0000"|""|"0.0000"|"Thejpurposes of the Stanwood Wildlife Sanctuary according to its certificate of organization is accomplished by the homestead of Cordelia J. Stanwood being,open to the public from May to October. Daily tours are conducted in addition to various scheduled groups. As the homestead is free to the public[ we estimate the attendance at 2,000. The Nature Center is available to the public from April to November. Displays abound throughout. School groups, service and community groups, Audubon"|""|"8004.0000"|""|"0.0000"|"The two-hundred acre DrODerty IS available year-round. free. for walkina. DhotograDhv. skiina, snowshoeina. and dog-walking on the wildlife trails. The maintenance of these trails, building bridges, pruning paths, cleaning up dead-fall, opening areas for the bird life and buildina conds and walkways through marshes aoes on constantly. Our aim is to oerform these activities while all the time truina to mantain a balance between vauna. middle and mature crowth of the forest."
