"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"PURPOSE"|"SIG_PROG_SERV_CBX"|"ENGAGE_CBX"|"OTHER_GRANTS"|"OTHER_EXPENSES"|"REVENUE_D"|"EXPENSES_TOTAL"|"SCH_O_III_CBX"
"01-0267877"|"KENNEBUNK BEACH IMPROVEMENT ASSOCIATION"|"1774771"|"The mission of the Kennebunk Beach Improvement Association (KBIA) is to create safe, supportive, and exciting ""summers of discovery"" for children and their families, through high quality affordable educational and enrichment programs taught by experienced and dedicated staff in addition we strive to maintain our historical role since 1910 as environmental stewards of the unique and natural resources that is ""Mother's Beach ""and ""the cove"""|"N"|"N"|""|"274764.0000"|"227936.0000"|"580278.0000"|"Y"
"01-0353275"|"Martin's Point Health Care Inc"|"1774772"|"The mission of Martin's Point Health Care is to exemplify and inspire health care and service excellence through leadership, education, and innovation"|"N"|"Y"|""|"2146660.0000"|"1825316.0000"|"480782834.0000"|"Y"
"01-0368571"|"The Arts and Recreation Center"|"1774773"|"The ARC strengthens and supports our island community by creating opportunities for people to connect, by mentoring students as they develop life skills through hands-on learning, and by promoting innovative enterprise to diversify the economy of Vinalhaven"|"N"|"N"|""|""|""|"224493.0000"|""
"01-0368574"|"WENDELL GILLEY MUSEUM OF BIRD CARVING"|"1774774"|"The Wendell Gilley Museum is a community center that celebrates the life and work of Wendell Gilley, a pioneer in the field of decorative Bird Carving it teaches the art of Bird Carving and presents art exhibitions and educational programs with a special focus on people, nature and art the museum endeavors to inspire appreciation of the visual arts, engagement in artistic creativity, and respect and care for the natural world"|"N"|"N"|""|""|""|"197453.0000"|"Y"
"01-0384674"|"CONVENTION & VISITORS BUREAU OF GREATER PORTLAND"|"1774775"|"The mission of the Convention & Visitors Bureau of Greater Portland is to stimulate the economic vitality of greater port land by soliciting and servicing conventions, meetings, groups, and visitors and by promoting Greater Portland as a preferred destination the vision ofthe Convention & Visitors Bureau of Greater Portland is to provide visitors with a quality experience, second to none, by fulfilling the recreational, cultural, social and spirt ual expectations of the traveling public"|"N"|"N"|""|""|""|""|"Y"
"01-6013485"|"BANGOR YMCA FOUNDATION"|"1790163"|"TO PROVIDE STABLE AND PERMANENT SUPPORT FOR THE CAPITAL NEEDS OF THE BANGOR Y, ENSURING IT REMAINS A VITAL PART OF OUR COMMUNITY FOREVER, AND CONTINUES TO SERVE THE NEEDS OF OUR CHILDREN, TEENS, FAMILIES, AND SENIORS OF THE REGION."|"N"|"N"|""|""|""|"103050.0000"|""
"01-0496745"|"CHOICES"|"1790235"|"Care of foster children"|"N"|"N"|""|"702615.0000"|""|"702615.0000"|"Y"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"1774776"|"Fund raising for charitable purposes through the planning, promotion and management of an annual Invitational Fishing Tournament"|"N"|"N"|""|""|""|"712000.0000"|""
"01-0622078"|"MUSLIM WOMEN'S COALITION A NJ NONPTOFIT CORPORATION"|"1774777"|""|"N"|"N"|""|""|""|"14309.0000"|""
"01-0885377"|"America Gives Back Inc"|"1774778"|"America Gives Back's (""AGB"") mission includes charitable and educational activities with the aim of eliminating poverty and improving conditions for children and disadvantaged persons in the United States and throughout the world, particularly Africa America Gives Back (""AGB"") achieves its mission by 1 Raising awareness of poverty conditions and the issues facing the poor and disadvantaged in the United States and throughout the world"|"N"|"N"|""|""|""|"93661.0000"|""
"01-0211783"|"Calais Regional Hospital"|"1777084"|"Calais Regional Hospital exists to provide and plan patient care, educational and restorative services that meet our customer's expectations, commensurate with available resources"|"N"|"N"|""|""|""|"28197027.0000"|""
"01-0581980"|"GEDE FOUNDATION"|"1777086"|"To work for the benefit of the people of Africa by restoring to them the right to a sense of self worth and a life of hope, health and happiness through programs that educate, promote healthy communities and help eliminate the stigma of illness"|"N"|"N"|""|""|""|"884302.0000"|"Y"
"01-0903800"|"CARMEL IDEAS FOUNDATION"|"1818286"|"The mission of Carmel Ideas Foundation is to foster enlightened leadership and open-minded dialog by the presentation of public forums involving well-known authors and individuals who have achieved the highest status of their profession, through seminars, conferences, and leadership development initiatives."|"N"|"N"|""|""|""|"457514.0000"|"Y"
"01-0651059"|"DAIRY INDUSTRY ENVIRONMENTAL COALITION"|"1818325"|"To improve public awareness, conduct research and provide regulatory representation regarding sustainability issues related to dairy farming in California"|"N"|"N"|""|""|""|"603965.0000"|""
"01-0646166"|"INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL INC"|"1777087"|"Promote wellness and improve the health status of the people of East Central Indiana and surrounding areas through patient care, health education and medical research"|"N"|"N"|""|""|""|"16179152.0000"|""
"01-0379054"|"Jackson Memorial Library"|"1834323"|"Public Library"|"N"|"N"|""|""|""|"182396.0000"|""
"02-0208422"|"Veterans of Foreign Wars Post #168"|"1838779"|"VFW was organized as a support system for veterans and their families in peace and war times We also are her to instill in the community a deeper sense of patriotism"|"N"|"N"|""|""|""|""|""
"02-0110903"|"AMERICAN LEGION FRANK E BOOMA POSTS"|"1839447"|"To promote the social welfare of the community, to assist disabled and needy war veterans, and the members of the US armed forces and their dependents; and the widows and orphas of deceased veterans. To provide entertainment, care, and assistance to hospitalized veterans and members of"|"N"|"N"|""|"5272.0000"|""|"43655.0000"|"Y"
"01-0654140"|"Clark Shores Water Corporation"|"1840159"|"provide drinking water"|"N"|"N"|""|""|""|""|""
"01-0681969"|"AMERICAN FRIENDS OF YESHIVA ZICHRON DAVID"|"1777088"|"To promote and support seclected charitable foundations"|"N"|"N"|""|"12823.0000"|""|"150800.0000"|"Y"
"01-0775179"|"ECOM FOUNDATION FOR DEVELOPMENT OF ORIGIN RESOURCES"|"1777090"|"Founded in 2006, the Ecom Foundation for Development of Origin Resources is a 501(C)(3) charity set up to support the global soft commodity farming communities from a social, educational and health perspective the Ecom Foundation is committed to providing a sustainable relationship to ensure the social, economic, health and environmental well-being of rural growers,their families and communities in underdeveloped countries"|"Y"|"N"|"70882.0000"|"70882.0000"|""|"313115.0000"|"Y"
"01-0857784"|"THE KEROSENE LAMP FOUNDATION"|"1777091"|"Basket ball facility refurbishment training clinics and basketball camps for disadvantaged communities literacy, art, education clinics for children mentoring programs for aspiring athlete - students"|"N"|"N"|""|""|""|"61699.0000"|"Y"
"01-0202467"|"MOUNT DESERT ISLAND BIOLOGICAL LABORATORY"|"1770787"|"The mdi Biological Laboratory is a rapidly growing, independent non-profit biomedical research institution its mission is to improve human health and well-being through research, education, and development ventures that transform discoveries into cures"|"N"|"N"|""|""|""|"8493831.0000"|"Y"
"01-0596561"|"LIBERTY LODGE INC"|"1770790"|"Providing men a structured home environment to achieve the goals of sobriety and health Christ centered 8 month program for men to recover from dependency on alcohol and drugs up to 20 men at a time"|"N"|"N"|""|""|""|"155384.0000"|""
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"1770791"|"To provide financial assistance for the care, well-being and Catholic religious development of needy children in the Dominican Republic"|"N"|"N"|"57758.0000"|"57758.0000"|""|"149852.0000"|"Y"
"01-0651843"|"IRANIAN AMERICAN JEWISH FEDERATION OF NEW YORK INC"|"1770792"|"Provide financial support to other 501 (C)(3) organizations which promote social, educational and other charitable services in the United States and Israel it also provides social services to poor and disadvantaged individuals in the Iranian American Jewish community"|"N"|"N"|""|""|""|"2102249.0000"|""
"01-0365191"|"ASSOCIATION OF SMALL BUSINESS DEV CENTR"|"1781420"|"To re present the collective interest of our members by promoting, in forming, supporting and continuously imp roving the Small Business development centers network, which delivers nationwide educational assistance to strengthen small/medium business management,thereby contributing to the growth of local, state and national economies"|"N"|"N"|""|""|""|""|"Y"
"01-0486399"|"NEW HOPE HOSPICE INC"|"1848260"|"Provide hospice care to the greater Bangor, Maine area"|"N"|"N"|""|""|""|"796546.0000"|""
"01-0561554"|"THE SHEPHERD'S CROOK MINISTRIES INC"|"1848261"|"Find permanent families for special-needs and difficult-to-place orphans from any place on earth"|"N"|"N"|""|""|""|"391224.0000"|""
"01-0600248"|"EASTERN NC REGIONAL SCIENCE CENTER"|"1848262"|"To create a Regional Science Center to promote economic and cultural development by extending science literacy, scientific research, and science-based industrial applications, and science-based tourism for every science and technology sector in Eastern NC."|"N"|"N"|""|""|""|"76309.0000"|"Y"
"01-0627754"|"CLEVELAND ARTS PRIZE"|"1848263"|"Champions the arts, artist sand cultual caretakers of the Cleveland region"|"N"|"N"|"8721.0000"|"9792.0000"|""|"67443.0000"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"1848264"|"The organization provides insurance for the child ren's hospital of Philadelphia and certain affiliated tax- exempt organizations"|"N"|"N"|""|""|""|"7120414.0000"|""
"01-0766844"|"FURKIDS INC"|"1848265"|"Animal rescue organization"|"N"|"N"|""|""|""|"754661.0000"|""
"01-0972999"|"LEGACY CONNECTIONS"|"1848268"|"Dedicated to ensuring that all components of the rose bowl renovation project are completed."|"N"|"N"|""|""|""|"2726816.0000"|""
"02-0208444"|"AMERICAN LEGION POST 21"|"1848273"|"The American Legion is an organization of people who served in the military they promote the social welfare of the community, assist disabled and needy war veterans, sponsor and participate in activities of a patriotic nature and provide social and recreational activities for their members"|"N"|"N"|""|""|""|""|"Y"
"01-0518193"|"ENVIRONMENT NORTHEAST"|"1781421"|"Environment Northeast addresses large-scale environmental challenges that threaten regional ecosystems, human health, or the management of significant natural resources we use policy analysis, collaborative problem solving, and advocacy to advance the environmental and economic sustainability of the northeastern United States and eastern Canada"|"N"|"N"|""|""|""|"1674820.0000"|"Y"
"01-0635895"|"SHELTER CARE PROVIDERS OF SAN DIEGO INC"|"1781422"|"The Organizations vision and mission are to be a vital force in ending homelessness by building dignified housing where homeless individuals and families can rebuild their lives The vision and mission are accomplished by identifying nonprofit social service agencies (Service Providers) in San Diego County that provide programs during which homeless individuals and families develop the resources and skills they need to rebuild their lives and become self-sufficient"|"N"|"N"|""|""|""|"266595.0000"|""
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"1781423"|"THE ORGANIZATIONS ARE COMMITTED TO IMPROVING THE HEALTH AND WELL-BEING OF THE RESIDENTS OF NEW JERSEY BY PROVIDING QUALITY, PATIENT-CENTERED HEALTH CARE SERVICES DELIVERED IN HOSPITAL, COMMUNITY AND IN-HOME SETTINGS, AND TO ADVANCING MEDICINE THROUGH CLINICAL EDUCATION AND RESEARCH THE ORGANIZATIONS FOSTER A CULTURE OF EXCELLENCE WITHIN A COLLABORATIVE ENVIRONMENT THEY ACTIVELY SEEK INNOVATIVE SOLUTIONS"|"N"|"N"|"0.0000"|"783988857.0000"|"1101816258.0000"|"1210777857.0000"|"Y"
"01-6026691"|"Veterans of Foreign Wars of the 7865 Harvell Bishop Post"|"1781424"|"Veteran's of Foreign Wars Post 7865 uses its funds to provide social services to Maine's Veteran's and other needy members of the community, scholarships to college bound area youth and other purposes to promote the common good of the community"|"N"|"N"|""|""|""|"27243.0000"|""
"01-0638224"|"Council For Educational Change Inc."|"1783110"|"To implement reform within the public school systems in Florida."|"N"|"N"|""|""|""|"2425744.0000"|""
